number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_best_iterations,user_attrs_fold_scores,state
78,0.8836107710681803,2026-08-27 05:03:21.863048,2026-08-27 05:03:42.461413,0 days 00:00:20.598365,0.956567857514941,0.005657017592843268,0.15996295775510064,9,4.3377792766976455,3.9454294861679694e-07,0.5683774765355238,0.9992681634696967,0.8836107710681803,0.0021177116705533208,"[412, 471, 324, 427, 405]","[0.8800477728164523, 0.8849928812975043, 0.8835507811390614, 0.8831027195493789, 0.8863597005385047]",COMPLETE
79,0.8637020688626265,2026-08-27 05:03:42.461735,2026-08-27 05:03:53.961538,0 days 00:00:11.499803,0.9669005816649805,0.4190398868877062,0.12974779600136196,10,1.6231699218509377,0.8480743190499188,0.2015998565115579,0.9684912953801446,0.8637020688626265,0.0015816651930464602,"[1456, 731, 1303, 1193, 1473]","[0.8617967979204865, 0.8649994118769414, 0.8660448338771066, 0.8631522899602674, 0.8625170106783303]",COMPLETE
80,0.8649438900148952,2026-08-27 05:03:53.961869,2026-08-27 05:04:05.095646,0 days 00:00:11.133777,0.8755239609661043,0.6184756128741993,0.19690369947699707,9,1.3410473773561564,0.10867173981666334,0.4025151350760301,0.9383514914982397,0.8649438900148952,0.002897180281432961,"[1456, 1494, 1431, 1495, 1400]","[0.8600045847861119, 0.8667974388633999, 0.8674810778262737, 0.8671608660802438, 0.8632754825184471]",COMPLETE
81,0.8850341656249153,2026-08-27 05:04:05.095991,2026-08-27 05:04:19.807122,0 days 00:00:14.711131,0.9902419910796533,0.08092316787017284,0.1617769521772704,10,3.411917506327562,9.05077062001478e-06,0.15201058984565138,0.9506048611006872,0.8850341656249153,0.002244266603998969,"[545, 1122, 741, 825, 1301]","[0.8842583379418176, 0.8871770598067243, 0.8810316443584744, 0.8858535098849951, 0.8868502761325651]",COMPLETE
82,0.8867661589283115,2026-08-27 05:04:19.807436,2026-08-27 05:04:39.584432,0 days 00:00:19.776996,0.9727010121284484,0.0019473375715846012,0.15097426796115943,10,2.7935590224613134,2.3252082510100807e-06,0.23023626637352343,0.9795250454130979,0.8867661589283115,0.0012269619831450063,"[332, 323, 287, 287, 318]","[0.8864335068143303, 0.887668258256927, 0.8844970547782531, 0.8876848619918917, 0.887547112800155]",COMPLETE
83,0.8781978599358681,2026-08-27 05:04:39.584766,2026-08-27 05:04:53.725122,0 days 00:00:14.140356,0.9334822997911078,0.1863724090306243,0.10991798209720541,10,1.9423478740285034,3.226398460741135e-06,0.22762336622921614,0.9813030585751341,0.8781978599358681,0.0024728510769063588,"[1416, 858, 1260, 1473, 1473]","[0.8745891074013157, 0.8805540836140276, 0.8758643213155928, 0.880240628433198, 0.8797411589152064]",COMPLETE
84,0.883480851942708,2026-08-27 05:04:53.725457,2026-08-27 05:05:08.799418,0 days 00:00:15.073961,0.9732450512587518,0.178205523876651,0.14937597463856828,10,2.805400441382647,4.7098875787581105e-07,0.3327628815199898,0.6962632740818928,0.883480851942708,0.0031551472001473033,"[606, 750, 409, 883, 728]","[0.8773439346624823, 0.8858641285598029, 0.8845331780394665, 0.8839157942790087, 0.885747224172779]",COMPLETE
85,0.8850838460911202,2026-08-27 05:05:08.799745,2026-08-27 05:05:21.780064,0 days 00:00:12.980319,0.9464270415859768,0.0839843757271911,0.17374131105008805,10,2.4954477050346635,1.3831079214269654e-06,0.1861031798747512,0.9625923425426357,0.8850838460911202,0.0019560983218633978,"[1456, 909, 505, 1400, 500]","[0.8817632384309272, 0.886134587089793, 0.8839849724857857, 0.8865238981414132, 0.8870125343076823]",COMPLETE
86,0.8665782242700517,2026-08-27 05:05:21.780383,2026-08-27 05:05:31.767371,0 days 00:00:09.986988,0.9632560961359274,0.2655314439184076,0.1411558756923393,10,2.161524640545382,1.2267839919860482,0.1353143155118478,0.9909931982429878,0.8665782242700517,0.002344233904508788,"[461, 1184, 339, 1264, 1295]","[0.8640365512487599, 0.8700692229874724, 0.8670271460631281, 0.8678349776184963, 0.8639232234324018]",COMPLETE
87,0.8791121360687495,2026-08-27 05:05:31.767692,2026-08-27 05:05:52.490784,0 days 00:00:20.723092,0.9825833190461085,0.016356532097186207,0.122804938505108,10,3.6153611436388062,3.870837019264649,0.8261387393738923,0.9776200444655349,0.8791121360687495,0.0030009272840956984,"[1477, 1480, 1491, 1388, 1482]","[0.8738229070664584, 0.8826571330356892, 0.8808754465368307, 0.878273310988608, 0.8799318827161606]",COMPLETE
88,0.8818251881022752,2026-08-27 05:05:52.491147,2026-08-27 05:06:06.229918,0 days 00:00:13.738771,0.9140694714130208,0.15489053562128374,0.18562866285404733,9,2.220762081094391,0.47706599788332044,0.2724866853857179,0.9295311374285606,0.8818251881022752,0.0022604753074015106,"[1456, 1322, 1450, 1500, 1478]","[0.8780979719332006, 0.8846564483845203, 0.8806427476966768, 0.883067532788024, 0.882661239708954]",COMPLETE
89,0.8704739243812314,2026-08-27 05:06:06.230218,2026-08-27 05:06:18.579322,0 days 00:00:12.349104,0.953226472748595,0.32882352530853337,0.15418228431255931,10,3.021281693785403,5.0513731254863285e-06,0.10808823158605833,0.969915896546847,0.8704739243812314,0.0024878317828468635,"[1456, 1292, 1480, 1480, 1474]","[0.8671969815905278, 0.8745711304850928, 0.8698287426508383, 0.8716089826128542, 0.8691637845668437]",COMPLETE
90,0.8786742100393218,2026-08-27 05:06:18.579640,2026-08-27 05:06:33.171692,0 days 00:00:14.592052,0.9688024841787479,0.0854569527072043,0.17309652252302143,9,3.94537832586713,2.711369457371875,0.2434524803652663,0.9593123651092565,0.8786742100393218,0.0029242955115794454,"[1500, 1445, 1454, 1495, 1486]","[0.8741355068539435, 0.882747314117147, 0.8807163417891449, 0.8781638718489604, 0.8776080155874127]",COMPLETE
91,0.8869008024074286,2026-08-27 05:06:33.172020,2026-08-27 05:06:51.030473,0 days 00:00:17.858453,0.9908080622423634,0.014453759114421231,0.15701687794437147,10,2.7354236239524075,3.37950743439877e-05,0.1688511167624772,0.947695985317146,0.8869008024074286,0.0018076940274951235,"[267, 260, 243, 291, 314]","[0.8847270508365628, 0.8868074529157609, 0.8858370996496806, 0.886996763674485, 0.8901356449606537]",COMPLETE
92,0.8848189005579993,2026-08-27 05:06:51.030785,2026-08-27 05:07:06.907707,0 days 00:00:15.876922,0.9861105915243591,0.07383873282744766,0.1322388073006952,10,2.439689521081919,5.361112690523782e-05,0.17125388466588098,0.9831480072439402,0.8848189005579993,0.0018976801329766836,"[1500, 1467, 1271, 1430, 654]","[0.8879567360603318, 0.8845363314668981, 0.8857274670103829, 0.8826442550761162, 0.8832297131762671]",COMPLETE
93,0.8886159405933286,2026-08-27 05:07:06.908036,2026-08-27 05:07:25.790517,0 days 00:00:18.882481,0.9764076084974282,0.0033938228988607613,0.1487275651526842,10,1.818325832743539,9.73692807020242e-06,0.1450689228897229,0.9906380131801658,0.8886159405933286,0.0014219383588008599,"[271, 302, 233, 275, 269]","[0.8907146743917381, 0.8876952871670492, 0.8868298961140265, 0.8880589661632902, 0.8897808791305389]",COMPLETE
94,0.8742503149598988,2026-08-27 05:07:25.790828,2026-08-27 05:07:42.272746,0 days 00:00:16.481918,0.9763305590312977,0.21668788401242364,0.14620003081588784,10,0.5472392229358148,1.154213294002459e-05,24.479620688243813,0.9716267824995896,0.8742503149598988,0.00370764364507598,"[1437, 1495, 1419, 1473, 1499]","[0.8719783572548456, 0.8814119396719599, 0.87361265142457, 0.8733151249469057, 0.8709335015012133]",COMPLETE
95,0.8769109189006364,2026-08-27 05:07:42.273065,2026-08-27 05:07:51.710754,0 days 00:00:09.437689,0.990454467678903,0.1484576098940977,0.17071337839921796,10,1.8132187664643014,2.509758972610621e-06,0.14461404116635462,0.9936272887888654,0.8769109189006364,0.0019982173994164978,"[936, 345, 784, 496, 817]","[0.8796828363517291, 0.8779313321904244, 0.8745769443371767, 0.8777193941548518, 0.8746440874690009]",COMPLETE
96,0.8857158787884268,2026-08-27 05:07:51.711079,2026-08-27 05:08:04.475982,0 days 00:00:12.764903,0.9613915244458161,0.06976672233456552,0.19061028469802954,10,1.474747731998044,3.5303148620876684e-05,0.1979570512090906,0.9561528970696735,0.8857158787884268,0.001803194592140403,"[756, 1494, 797, 514, 1238]","[0.8891719935878967, 0.8856192666555099, 0.8839954567641098, 0.884883192048597, 0.884909484886021]",COMPLETE
97,0.8872490691127679,2026-08-27 05:08:04.476311,2026-08-27 05:08:29.753958,0 days 00:00:25.277647,0.9282718592888104,0.0007784527565023263,0.09622847480715256,9,2.6188531721176274,0.0018664873534120006,0.11591293505172968,0.9422379472432508,0.8872490691127679,0.0018634368198740512,"[535, 583, 435, 504, 601]","[0.886271248639213, 0.8881835363340179, 0.8840599988626788, 0.888602438579694, 0.8891281231482354]",COMPLETE
98,0.8786658565595292,2026-08-27 05:08:29.754281,2026-08-27 05:08:44.822186,0 days 00:00:15.067905,0.9260840028056992,0.2534878711758183,0.10824252600485251,9,2.0027761022872808,0.060019074562498095,0.10198457745276343,0.9358755030748619,0.8786658565595292,0.0030797972945199757,"[1469, 1497, 1434, 1486, 1480]","[0.8769594619255355, 0.8835013513878653, 0.8783504111897759, 0.8801808549015883, 0.8743372033928809]",COMPLETE
99,0.8856053373353457,2026-08-27 05:08:44.822509,2026-08-27 05:09:00.311443,0 days 00:00:15.488934,0.9525392259701227,0.1506554472981261,0.13737357042057477,9,1.187483728355715,0.001275718824770492,0.12488461112691182,0.9077419826562628,0.8856053373353457,0.002715056295120867,"[1475, 1494, 1497, 1495, 1404]","[0.8848367258330524, 0.8907777418486901, 0.8833856160379021, 0.8855623186551984, 0.8834642843018857]",COMPLETE
100,0.8582489486718237,2026-08-27 05:09:00.311759,2026-08-27 05:09:20.136399,0 days 00:00:19.824640,0.9998742240007588,0.30127090357193914,0.09718353630032533,4,1.7394295043520658,8.628750981170467e-05,0.14216030054465106,0.9201110945335106,0.8582489486718237,0.005317437231144082,"[1499, 1500, 1500, 1500, 1499]","[0.8514632181879449, 0.8611538679306828, 0.8528034672035701, 0.8655339134059599, 0.8602902766309604]",COMPLETE
101,0.8856723325040307,2026-08-27 05:09:20.136722,2026-08-27 05:10:20.371261,0 days 00:01:00.234539,0.97876067030549,0.006412435743652098,0.016329370658614617,10,2.6110133583721367,0.0007161267066666668,0.16094458696015518,0.94644689736572,0.8856723325040307,0.0019871860766323564,"[1500, 1497, 1500, 1500, 1500]","[0.8861421220848834, 0.8881070353155079, 0.8820622005126563, 0.8864214134979056, 0.8856288911092002]",COMPLETE
102,0.8509489776566316,2026-08-27 05:10:20.371584,2026-08-27 05:10:33.894913,0 days 00:00:13.523329,0.9717447933777439,0.0652719101162916,0.15004788139786018,10,2.281151539742033,9.930027436074402,0.11582608256789584,0.9799401958030922,0.8509489776566316,0.0024294561405281212,"[1375, 1500, 1491, 1495, 1488]","[0.8550446528162684, 0.8521547657188742, 0.8495677639835192, 0.8480693757600913, 0.8499083300044047]",COMPLETE
