number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
29,0.620869333885565,2026-08-26 23:52:48.105832,2026-08-26 23:52:48.662873,0 days 00:00:00.557041,0.0018362693706525386,balanced,log_loss,8,0.6,7,14,best,0.620869333885565,0.007168051827675333,"[0.6124906309930869, 0.6225797483762897, 0.6247440019751341, 0.613187007378349, 0.631345280704965]",COMPLETE
30,0.5538694654383438,2026-08-26 23:52:48.663260,2026-08-26 23:52:49.620243,0 days 00:00:00.956983,0.008450202429177014,balanced,entropy,14,0.8,21,43,best,0.5538694654383438,0.004777612161978216,"[0.5557885329197183, 0.5512018271973801, 0.5515742986571938, 0.5622261281488021, 0.5485565402686251]",COMPLETE
31,0.7216282653597912,2026-08-26 23:52:49.620608,2026-08-26 23:52:50.610219,0 days 00:00:00.989611,0.0007457331540019733,balanced,log_loss,20,0.8,15,11,best,0.7216282653597912,0.0048438436168511696,"[0.7260751423604912, 0.724178128800065, 0.72377841664417, 0.7123335049748779, 0.7217761340193514]",COMPLETE
32,0.7502619439931529,2026-08-26 23:52:50.610533,2026-08-26 23:52:51.661366,0 days 00:00:01.050833,2.564967935058499e-05,balanced,log_loss,22,0.8,7,12,best,0.7502619439931529,0.008423667786003142,"[0.7503260656627773, 0.7640244328125075, 0.7399478036779022, 0.7433661334885128, 0.7536452843240647]",COMPLETE
33,0.7519063269133495,2026-08-26 23:52:51.661692,2026-08-26 23:52:52.711233,0 days 00:00:01.049541,4.061567776345653e-05,balanced,log_loss,22,0.8,6,21,best,0.7519063269133495,0.00705484515657972,"[0.7592277830138108, 0.7613252650847778, 0.7491574927473724, 0.7441702365073372, 0.7456508572134491]",COMPLETE
34,0.6989585208234838,2026-08-26 23:52:52.711589,2026-08-26 23:52:52.800061,0 days 00:00:00.088472,1.9845501204646827e-05,balanced,log_loss,22,0.8,8,21,random,0.6989585208234838,0.007392849069884332,"[0.7005360569433878, 0.70720379246104, 0.7014747108731054, 0.6850320471083182, 0.7005459967315669]",COMPLETE
35,0.6814941920475901,2026-08-26 23:52:52.800386,2026-08-26 23:52:53.057205,0 days 00:00:00.256819,4.423001177850657e-05,balanced,log_loss,24,sqrt,25,52,best,0.6814941920475901,0.00441278056115635,"[0.6743717795930754, 0.6857113852073233, 0.6847852559062276, 0.6783059279862895, 0.6842966115450348]",COMPLETE
36,0.7484197711515613,2026-08-26 23:52:53.057555,2026-08-26 23:52:54.125431,0 days 00:00:01.067876,1.0919157335610923e-05,balanced,log_loss,25,0.8,4,29,best,0.7484197711515613,0.010389938904421447,"[0.7400032167099496, 0.7673141938528029, 0.7493770045273577, 0.7379262657766814, 0.7474781748910152]",COMPLETE
37,0.6887117074398625,2026-08-26 23:52:54.125745,2026-08-26 23:52:54.207663,0 days 00:00:00.081918,4.237844268457373e-06,,log_loss,25,0.8,5,30,random,0.6887117074398625,0.012689026644427875,"[0.6892266792989262, 0.6676326130381073, 0.7063513072513659, 0.6854288834011327, 0.6949190542097808]",COMPLETE
38,0.6791925858183627,2026-08-26 23:52:54.207982,2026-08-26 23:52:54.454284,0 days 00:00:00.246302,1.6363134454174837e-05,balanced,log_loss,29,log2,27,38,best,0.6791925858183627,0.005874309062298604,"[0.6751718890433605, 0.6890008150318453, 0.6819980788856341, 0.6721230479200425, 0.6776690982109312]",COMPLETE
39,0.7156589641846363,2026-08-26 23:52:54.454669,2026-08-26 23:52:55.653690,0 days 00:00:01.199021,2.8130373852924847e-06,,log_loss,23,,19,55,best,0.7156589641846363,0.006869542690822533,"[0.7228883682470958, 0.7250927878172778, 0.7101948411960365, 0.7090285967832467, 0.7110902268795245]",COMPLETE
40,0.6762994853642877,2026-08-26 23:52:55.654009,2026-08-26 23:52:55.701002,0 days 00:00:00.046993,4.5056250008776727e-07,balanced,log_loss,26,sqrt,1,29,random,0.6762994853642877,0.007800598685309532,"[0.6660224875763758, 0.6892830706947706, 0.6727788448194855, 0.6737628511607143, 0.6796501725700926]",COMPLETE
41,0.7546671152547192,2026-08-26 23:52:55.701324,2026-08-26 23:52:56.783693,0 days 00:00:01.082369,3.018755482356877e-05,balanced,log_loss,18,0.8,5,17,best,0.7546671152547192,0.0056029198299954236,"[0.7446882662249522, 0.7613232127259981, 0.7542996274529522, 0.7547603058483395, 0.7582641640213535]",COMPLETE
42,0.74960678091365,2026-08-26 23:52:56.784031,2026-08-26 23:52:57.833789,0 days 00:00:01.049758,2.9044729378373537e-05,balanced,log_loss,18,0.8,8,19,best,0.74960678091365,0.006889419598621993,"[0.7451587426198958, 0.7622639190144954, 0.7433892962577987, 0.7514999127248755, 0.7457220339511842]",COMPLETE
43,0.7520676383310747,2026-08-26 23:52:57.834386,2026-08-26 23:52:58.927122,0 days 00:00:01.092736,2.810539698884863e-05,balanced,log_loss,18,0.8,6,5,best,0.7520676383310747,0.009517450087002671,"[0.7485366747400609, 0.7695507513964527, 0.742079033077291, 0.7537706496706577, 0.7464010827709116]",COMPLETE
44,0.7511829751731331,2026-08-26 23:52:58.927449,2026-08-26 23:52:59.951868,0 days 00:00:01.024419,0.00023585448574495223,,log_loss,18,0.8,7,5,best,0.7511829751731331,0.009331233663952916,"[0.750496636327625, 0.7615487077868345, 0.741072267691416, 0.740789185454172, 0.7620080786056184]",COMPLETE
