run_index,run_name,held_out_site,model,dataset,n_source_rows,n_evaluated_rows,dropped_incomplete_rows,actual_total_cloud_rows,actual_water_rows,predicted_total_cloud_rows,predicted_water_rows,true_total_cloud_predicted_total_cloud,true_total_cloud_predicted_water,true_water_predicted_total_cloud,true_water_predicted_water,overall_binary_accuracy,balanced_binary_accuracy,total_cloud_accuracy,water_accuracy,total_cloud_user_accuracy,water_user_accuracy,total_cloud_f1,water_f1,dataset_csv,model_path
2,held_out_bianco,bianco,random_forest,loso,897,897,0,47,850,625,272,44,3,581,269,0.34894091415830547,0.6263204005006258,0.9361702127659575,0.3164705882352941,0.0704,0.9889705882352942,0.13095238095238096,0.47950089126559714,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/RF_best_all_general.pkl
2,held_out_bianco,bianco,random_forest,test,5545,5545,0,3365,2180,3486,2059,2769,596,717,1463,0.7632100991884581,0.7469917662936052,0.8228826151560178,0.6711009174311927,0.7943201376936316,0.7105390966488586,0.8083491461100569,0.6902571361170087,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/RF_best_all_general.pkl
2,held_out_bianco,bianco,random_forest,train,22358,22358,0,13538,8820,13538,8820,13538,0,0,8820,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/RF_best_all_general.pkl
2,held_out_bianco,bianco,xgboost,loso,897,897,0,47,850,623,274,37,10,586,264,0.3355629877369008,0.5489111389236546,0.7872340425531915,0.31058823529411766,0.0593900481540931,0.9635036496350365,0.11044776119402985,0.4697508896797153,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/XGB_best_all_general.pkl
2,held_out_bianco,bianco,xgboost,test,5545,5545,0,3365,2180,3529,2016,2781,584,748,1432,0.7597835888187556,0.7416647354717341,0.8264487369985141,0.6568807339449542,0.7880419382261263,0.7103174603174603,0.8067885117493473,0.6825548141086749,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/XGB_best_all_general.pkl
2,held_out_bianco,bianco,xgboost,train,22358,22358,0,13538,8820,13538,8820,13538,0,0,8820,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_bianco/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_bianco/XGB_best_all_general.pkl
3,held_out_geneva,geneva,decision_tree,loso,16150,16150,0,10150,6000,8664,7486,6448,3702,2216,3784,0.6335603715170278,0.632968801313629,0.6352709359605911,0.6306666666666667,0.7442289935364728,0.5054768901950307,0.6854470075475709,0.5611745513866232,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/DT_best_all_general.pkl
3,held_out_geneva,geneva,decision_tree,test,2513,2513,0,1363,1150,1510,1003,1022,341,488,662,0.6701153999204138,0.6627343774921051,0.7498165810711666,0.5756521739130435,0.6768211920529801,0.6600199401794616,0.7114514444831187,0.6149558755225267,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_test_20.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/DT_best_all_general.pkl
3,held_out_geneva,geneva,decision_tree,train,10137,10137,0,5437,4700,5437,4700,5437,0,0,4700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_train_80.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/DT_best_all_general.pkl
3,held_out_geneva,geneva,random_forest,loso,16150,16150,0,10150,6000,8459,7691,6569,3581,1890,4110,0.6612383900928792,0.6660960591133005,0.6471921182266009,0.685,0.7765693344366946,0.5343908464438955,0.7060024719221882,0.6003944196917683,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/datasets/held_out_geneva/df_leave_out_site.csv,/Users/airahaghi/Documents/Trishna/Scripts/LSWT-ML-thin-cloud-masking/outputs/leave_one_site_out/models/held_out_geneva/RF_best_all_general.pkl
