scene_id,sensor,time_utc,nirmap_mean0,nirmap_median0,nirmap_std0,swirmap1_mean0,swirmap1_median0,swirmap1_std0,swirmap2_mean0,swirmap2_median0,swirmap2_std0,hotmap_mean0,hotmap_median0,hotmap_std0,whitenessmap_mean0,whitenessmap_median0,whitenessmap_std0,ndsimap1_mean0,ndsimap1_median0,ndsimap1_std0,ndsimap2_mean0,ndsimap2_median0,ndsimap2_std0,ndvimap_mean0,ndvimap_median0,ndvimap_std0,ndwimap_mean0,ndwimap_median0,ndwimap_std0,mndwimap1_mean0,mndwimap1_median0,mndwimap1_std0,mndwimap2_mean0,mndwimap2_median0,mndwimap2_std0,waterratiomap1_mean0,waterratiomap1_median0,waterratiomap1_std0,waterratiomap2_mean0,waterratiomap2_median0,waterratiomap2_std0,brtestmap1_mean0,brtestmap1_median0,brtestmap1_std0,brtestmap2_mean0,brtestmap2_median0,brtestmap2_std0,btmap1_mean0,btmap1_median0,btmap1_std0,btmap2_mean0,btmap2_median0,btmap2_std0,raamap_mean0,raamap_median0,raamap_std0,vzamap_mean0,vzamap_median0,vzamap_std0,szamap_mean0,szamap_median0,szamap_std0
LC08_L1TP_195027_20230905_20230912_02_T1,LANDSAT_8,20230905,0.016656162217259407,0.016635438427329063,0.0002732878492679447,0.0030467351898550987,0.003027101280167699,0.00021075030963402241,0.0014486409490928054,0.0014453663025051355,0.00011318549513816833,0.06689028441905975,0.06689628213644028,0.0002129964268533513,1.0226731300354004,1.0219875574111938,0.0072294860146939754,0.8894255757331848,0.8905326724052429,0.007032846566289663,0.9458461999893188,0.9457247257232666,0.0040780664421617985,-0.24188704788684845,-0.2427063137292862,0.008560440503060818,0.5151123404502869,0.5156809091567993,0.005164429545402527,0.8894255757331848,0.8905326724052429,0.007032846566289663,0.9458461999893188,0.9457247257232666,0.0040780664421617985,4.027641773223877,4.041611671447754,0.07765062153339386,4.382555961608887,4.383810997009277,0.06834118068218231,0.18286676704883575,0.18137244880199432,0.011500529944896698,0.08697357028722763,0.08702748268842697,0.006664710585027933,20.511825561523438,20.50787353515625,0.025372158735990524,20.143043518066406,20.140625,0.03803171217441559,120.94400024414062,120.94000244140625,0.009382318705320358,5.055200099945068,5.059999942779541,0.004995874594897032,42.83000183105469,42.83000183105469,0.0
LC08_L1TP_194027_20230914_20230919_02_T1,LANDSAT_8,20230914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_195027_20230921_20230926_02_T1,LANDSAT_8,20230921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_194027_20230930_20231010_02_T1,LANDSAT_8,20230930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_195027_20231007_20231011_02_T1,LANDSAT_8,20231007,0.020288577303290367,0.02031857892870903,0.0002766801626421511,0.0053919171914458275,0.005386456847190857,0.00018664712843019515,0.002695955103263259,0.0027273220475763083,0.0001844538637669757,0.07769879698753357,0.07769471406936646,0.000804923998657614,0.9812788963317871,0.9805517196655273,0.005730434786528349,0.8456668853759766,0.8453307747840881,0.005317850969731808,0.9197619557380676,0.9197227358818054,0.00513791898265481,-0.2297578603029251,-0.228205144405365,0.0060616666451096535,0.5213406085968018,0.5217215418815613,0.005249399226158857,0.8456668853759766,0.8453307747840881,0.005317850969731808,0.9197619557380676,0.9197227358818054,0.00513791898265481,3.773012638092041,3.770362138748169,0.05478493869304657,4.215646266937256,4.205750942230225,0.05924951285123825,0.2657817602157593,0.26621153950691223,0.009051039814949036,0.13287648558616638,0.1325497329235077,0.008898867294192314,15.560263633728027,15.566192626953125,0.050613872706890106,14.627886772155762,14.636810302734375,0.035863883793354034,113.51599884033203,113.51998901367188,0.008484650403261185,5.1631999015808105,5.159999847412109,0.0046648685820400715,54.08000183105469,54.08000183105469,0.0
LC08_L1TP_194027_20231016_20231102_02_T1,LANDSAT_8,20231016,0.014446955174207687,0.014440990053117275,0.0002679798344615847,0.0023598072584718466,0.0023508546873927116,0.00024623150238767266,0.0013343842001631856,0.0013433375861495733,0.00018680999346543103,0.08570561558008194,0.08567575365304947,0.0002915883669629693,1.0515841245651245,1.0525727272033691,0.0074418820440769196,0.9309172034263611,0.9311853647232056,0.006909418385475874,0.9603444933891296,0.9599334597587585,0.005407997872680426,-0.38660678267478943,-0.38831081986427307,0.007912661880254745,0.6405314803123474,0.6405961513519287,0.00527106923982501,0.9309172034263611,0.9311853647232056,0.006909418385475874,0.9603444933891296,0.9599334597587585,0.005407997872680426,5.868844985961914,5.866374492645264,0.13236553966999054,6.249851226806641,6.228780746459961,0.1363125890493393,0.16333328187465668,0.1627287119626999,0.016671784222126007,0.09235610067844391,0.09350579977035522,0.012850966304540634,14.003204345703125,14.004608154296875,0.05968930199742317,12.923501968383789,12.920074462890625,0.03601592779159546,60.73320388793945,60.730003356933594,0.004665757995098829,5.06279993057251,5.059999942779541,0.00449009146541357,57.59000015258789,57.59000015258789,0.0
LC08_L1TP_195027_20231108_20231117_02_T1,LANDSAT_8,20231108,0.01366005465388298,0.013695701956748962,0.0003325236029922962,0.002213816624134779,0.0021575381979346275,0.00023915976635180414,0.0010768868960440159,0.0010318546555936337,0.00023637566482648253,0.07772878557443619,0.07774192839860916,0.00035776314325630665,1.158220648765564,1.1604152917861938,0.010354400612413883,0.9208810925483704,0.9220340251922607,0.00823064986616373,0.9607566595077515,0.9619382619857788,0.008318752981722355,-0.3667437434196472,-0.36590665578842163,0.011626961641013622,0.5946003198623657,0.5946893095970154,0.007818170823156834,0.9208810925483704,0.9220340251922607,0.00823064986616373,0.9607566595077515,0.9619382619857788,0.008318752981722355,5.2459397315979,5.190625190734863,0.15128833055496216,5.649804592132568,5.63694953918457,0.14893819391727448,0.16202890872955322,0.1571900099515915,0.016707269474864006,0.07891929894685745,0.07857038825750351,0.017627662047743797,8.054525375366211,8.050537109375,0.06663338094949722,7.324351787567139,7.318450927734375,0.026966461911797523,109.83320617675781,109.83000183105469,0.008815647102892399,5.133200168609619,5.130000114440918,0.004664645995944738,64.76000213623047,64.76000213623047,0.0
LC08_L1GT_194027_20231117_20231122_02_T2,LANDSAT_8,20231117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC08_L1TP_194027_20231203_20231209_02_T1,LANDSAT_8,20231203,0.02074781432747841,0.020726002752780914,0.00044661349966190755,0.0027925448957830667,0.0029088903684169054,0.0003793991345446557,0.0013477839529514313,0.0012726396089419723,0.00037092476850375533,0.11549234390258789,0.11553841829299927,0.0004168048326391727,1.1342943906784058,1.133879542350769,0.006181748118251562,0.9321830868721008,0.9296708106994629,0.008847534656524658,0.9666961431503296,0.9687734246253967,0.009037407115101814,-0.39708298444747925,-0.3950178325176239,0.008533347398042679,0.5860998034477234,0.5854986310005188,0.007132221478968859,0.9321830868721008,0.9296708106994629,0.008847534656524658,0.9666961431503296,0.9687734246253967,0.009037407115101814,5.4228105545043945,5.398972034454346,0.13566605746746063,5.777789115905762,5.758247375488281,0.1570596992969513,0.13461115956306458,0.14285601675510406,0.018233422189950943,0.06497475504875183,0.061583153903484344,0.017866086214780807,3.1032323837280273,3.09832763671875,0.0375375859439373,2.1618824005126953,2.13763427734375,0.0890500396490097,62.68999099731445,62.68999481201172,3.814697265625e-06,5.0512003898620605,5.050000190734863,0.004308074712753296,70.7300033569336,70.7300033569336,0.0
LC08_L1TP_194027_20231219_20240103_02_T1,LANDSAT_8,20231219,0.01567673496901989,0.01584843546152115,0.0005162565503269434,0.0023587625473737717,0.0023112203925848007,0.00034918461460620165,0.0008822136442176998,0.0009244685061275959,0.0002640590537339449,0.1013164073228836,0.10119885206222534,0.0003814107330981642,1.1474463939666748,1.1479671001434326,0.008246692828834057,0.9351428151130676,0.9362479448318481,0.009346937760710716,0.9752686023712158,0.9740025401115417,0.007264456711709499,-0.42960652709007263,-0.4271847903728485,0.014339198358356953,0.6355636715888977,0.6335877776145935,0.009810819290578365,0.9351428151130676,0.9362479448318481,0.009346937760710716,0.9752686023712158,0.9740025401115417,0.007264456711709499,6.08382511138916,6.073000907897949,0.18560442328453064,6.6265459060668945,6.551190376281738,0.201640784740448,0.15084195137023926,0.14583271741867065,0.02442931942641735,0.05648195371031761,0.05857597291469574,0.017402885481715202,4.584006309509277,4.584136962890625,0.02314639836549759,4.188156604766846,4.182373046875,0.023900575935840607,61.28999328613281,61.28999328613281,0.0,4.910799980163574,4.909999847412109,0.004833243787288666,72.37000274658203,72.37000274658203,0.0
