number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
30,0.6862882760165975,2026-08-26 17:54:32.813090,2026-08-26 17:55:27.702510,0 days 00:00:54.889420,False,,entropy,8.0,0.5,2,9,800,0.6862882760165975,0.009431092224540229,"[0.680031692798622, 0.7017740751303735, 0.6785647282661241, 0.6927806468011989, 0.6782902370866691]",COMPLETE
31,0.8724667019002015,2026-08-26 17:55:27.702847,2026-08-26 17:56:40.096160,0 days 00:01:12.393313,False,,entropy,,0.5,4,5,700,0.8724667019002015,0.0064741653762947484,"[0.8652540520852304, 0.8704587228119046, 0.8830168768949275, 0.8763477923808903, 0.8672560653280547]",COMPLETE
32,0.8749855442543932,2026-08-26 17:56:40.096483,2026-08-26 17:57:43.387229,0 days 00:01:03.290746,False,,entropy,,0.5,3,8,600,0.8749855442543932,0.006380477794051844,"[0.8690868342975565, 0.873517511216181, 0.8851493902931199, 0.8790361635515122, 0.8681378219135967]",COMPLETE
33,0.8652711085109628,2026-08-26 17:57:43.387548,2026-08-26 17:59:19.863030,0 days 00:01:36.475482,False,,entropy,,0.7,5,2,700,0.8652711085109628,0.0053200642736068995,"[0.8603557832580625, 0.8659728078002235, 0.8735508030554421, 0.8677126030527371, 0.8587635453883492]",COMPLETE
34,0.855650802673862,2026-08-26 17:59:19.863350,2026-08-26 17:59:58.294036,0 days 00:00:38.430686,True,,entropy,32.0,0.5,2,13,600,0.855650802673862,0.0071602329705511706,"[0.8502830551384446, 0.8523798577202948, 0.867850866050396, 0.8594221285223487, 0.8483181059378252]",COMPLETE
35,0.8464324096111042,2026-08-26 17:59:58.294391,2026-08-26 18:00:30.345272,0 days 00:00:32.050881,False,,entropy,24.0,sqrt,2,22,800,0.8464324096111042,0.0067821643204533846,"[0.8413998320865819, 0.84410668954382, 0.8566920703591, 0.8516818534508827, 0.8382816026151372]",COMPLETE
36,0.81858284789689,2026-08-26 18:00:30.345601,2026-08-26 18:00:47.129214,0 days 00:00:16.783613,True,,entropy,16.0,log2,6,5,700,0.81858284789689,0.007959333694052027,"[0.8154124397193502, 0.8170680286056046, 0.8315301932300577, 0.8216157177677724, 0.8072878601616646]",COMPLETE
37,0.7793511685278287,2026-08-26 18:00:47.129531,2026-08-26 18:02:47.373398,0 days 00:02:00.243867,False,,entropy,,1.0,4,4,600,0.7793511685278287,0.006526659967890799,"[0.7799511569723201, 0.7895087215328914, 0.7806676532360499, 0.7774870679020042, 0.7691412429958779]",COMPLETE
38,0.6813543934686297,2026-08-26 18:02:47.373715,2026-08-26 18:03:08.411149,0 days 00:00:21.037434,False,balanced,entropy,8.0,sqrt,2,8,800,0.6813543934686297,0.009703964915204005,"[0.6886614421846001, 0.6664753950336877, 0.6868307367433791, 0.6914540197437381, 0.6733503736377431]",COMPLETE
39,0.8436810576073785,2026-08-26 18:03:08.411458,2026-08-26 18:04:01.532540,0 days 00:00:53.121082,True,,entropy,24.0,0.5,7,6,900,0.8436810576073785,0.0077629620078623245,"[0.8400090752659107, 0.838524526698348, 0.8571418252571977, 0.8472523523483177, 0.8354775084671191]",COMPLETE
