number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
30,0.7552368922136192,2026-08-26 17:27:12.950834,2026-08-26 17:27:13.846579,0 days 00:00:00.895745,7.128865133257722e-08,balanced,gini,19,0.8,8,9,best,0.7552368922136192,0.010627118129341712,"[0.7670169482595304, 0.7473824291092686, 0.7689799380645611, 0.7495053280382532, 0.7432998175964832]",COMPLETE
31,0.7308982581941339,2026-08-26 17:27:13.846914,2026-08-26 17:27:14.693919,0 days 00:00:00.847005,6.04357952322774e-08,balanced,gini,14,0.8,7,7,best,0.7308982581941339,0.006779509935736565,"[0.7350957446280497, 0.7313812157649243, 0.7406840012107105, 0.7212609408366122, 0.7260693885303725]",COMPLETE
32,0.7392498286478901,2026-08-26 17:27:14.694247,2026-08-26 17:27:15.558449,0 days 00:00:00.864202,4.875432752004201e-08,balanced,gini,20,0.8,13,2,best,0.7392498286478901,0.013678156041123796,"[0.7405700236751048, 0.7495030175163704, 0.7564360438661007, 0.7326051988505835, 0.7171348593312906]",COMPLETE
33,0.736763497148749,2026-08-26 17:27:15.558772,2026-08-26 17:27:16.437250,0 days 00:00:00.878478,3.5260685016505627e-07,balanced,gini,19,0.8,6,43,best,0.736763497148749,0.01097928967535654,"[0.7343628815897331, 0.7279065228521459, 0.7565021538704694, 0.7393397167313402, 0.7257062107000568]",COMPLETE
34,0.6470278639488989,2026-08-26 17:27:16.437611,2026-08-26 17:27:16.502950,0 days 00:00:00.065339,4.7476978002386736e-08,balanced,gini,14,0.8,25,10,random,0.6470278639488989,0.005991380884630821,"[0.6560702495068164, 0.6503617736207944, 0.6477615301019216, 0.6407275639314554, 0.6402182025835067]",COMPLETE
35,0.7247212010132739,2026-08-26 17:27:16.503264,2026-08-26 17:27:17.417041,0 days 00:00:00.913777,4.884369583074042e-06,balanced,log_loss,22,0.8,21,2,best,0.7247212010132739,0.010216052618505191,"[0.7257010347024883, 0.7210979353674604, 0.7373856555279534, 0.7318998585494669, 0.7075215209190002]",COMPLETE
36,0.7457080693551686,2026-08-26 17:27:17.417377,2026-08-26 17:27:18.294288,0 days 00:00:00.876911,5.20481362809722e-07,balanced,gini,19,0.8,10,20,best,0.7457080693551686,0.0104639058259767,"[0.7430484188534926, 0.7474491515943565, 0.7586963751388359, 0.7518351525036017, 0.7275112486855569]",COMPLETE
37,0.6558286823903208,2026-08-26 17:27:18.294641,2026-08-26 17:27:18.358189,0 days 00:00:00.063548,3.8804943243036213e-07,,gini,19,0.8,24,19,random,0.6558286823903208,0.007896051118579678,"[0.6601891984864121, 0.662634240058155, 0.6585147717073064, 0.657365818728212, 0.6404393829715188]",COMPLETE
38,0.7263303534326553,2026-08-26 17:27:18.358490,2026-08-26 17:27:19.280761,0 days 00:00:00.922271,4.526052881512271e-08,balanced,entropy,15,0.8,17,12,best,0.7263303534326553,0.006090899715261872,"[0.7274446502319214, 0.728841847933363, 0.7323906238025426, 0.7283542455778749, 0.7146203996175743]",COMPLETE
39,0.755060739257108,2026-08-26 17:27:19.281157,2026-08-26 17:27:20.127655,0 days 00:00:00.846498,1.986607473793068e-07,,gini,20,0.8,9,6,best,0.755060739257108,0.011477037043069876,"[0.7489012895887955, 0.764985501336855, 0.7687418567976599, 0.7558981267122054, 0.7367769218500242]",COMPLETE
40,0.6427603811847067,2026-08-26 17:27:20.128008,2026-08-26 17:27:20.165113,0 days 00:00:00.037105,2.14559642614391e-07,,log_loss,18,sqrt,3,32,random,0.6427603811847067,0.008252357989593237,"[0.629215919169428, 0.6542324184380998, 0.6404134596545362, 0.6472254501299369, 0.6427146585315322]",COMPLETE
41,0.7659434901692858,2026-08-26 17:27:20.165415,2026-08-26 17:27:21.032138,0 days 00:00:00.866723,5.287054376370919e-09,,gini,22,0.8,6,6,best,0.7659434901692858,0.009020641906038003,"[0.7652653837592829, 0.7572515803447378, 0.7815242183993711, 0.768703507704294, 0.756972760638743]",COMPLETE
42,0.7507228279499621,2026-08-26 17:27:21.032484,2026-08-26 17:27:21.876969,0 days 00:00:00.844485,3.730057704408271e-09,,gini,22,0.8,9,14,best,0.7507228279499621,0.006433593867553,"[0.7469771766798119, 0.7565511431513432, 0.7541159864252845, 0.7561228110930793, 0.7398470224002914]",COMPLETE
43,0.7645559052833328,2026-08-26 17:27:21.877324,2026-08-26 17:27:22.738617,0 days 00:00:00.861293,8.695757328241909e-09,,gini,18,0.8,6,14,best,0.7645559052833328,0.0059866383612213366,"[0.7608327749582221, 0.76108695494476, 0.7667335832195166, 0.7753089989553922, 0.7588172143387736]",COMPLETE
44,0.7599387345812008,2026-08-26 17:27:22.738958,2026-08-26 17:27:23.598669,0 days 00:00:00.859711,4.882803110333423e-09,,gini,17,0.8,5,6,best,0.7599387345812008,0.013243321673884046,"[0.7567038496766387, 0.7431494532505449, 0.7803403484002871, 0.7689229687931424, 0.7505770527853904]",COMPLETE
45,0.7610485663401856,2026-08-26 17:27:23.599001,2026-08-26 17:27:24.592032,0 days 00:00:00.993031,4.251912910781774e-09,,entropy,17,0.8,4,6,best,0.7610485663401856,0.00815449390151617,"[0.7626776119642319, 0.7684381990426873, 0.7702579665584457, 0.7554183408349253, 0.7484507133006378]",COMPLETE
46,0.7485757438586312,2026-08-26 17:27:24.592374,2026-08-26 17:27:25.566880,0 days 00:00:00.974506,2.8727145240333364e-09,,entropy,16,0.8,4,25,best,0.7485757438586312,0.005312619773374815,"[0.7496761004380333, 0.7506692712718009, 0.7568467715722486, 0.7436781541612628, 0.7420084218498103]",COMPLETE
