number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
38,0.7237387317348697,2026-08-26 14:04:30.558836,2026-08-26 14:04:30.994414,0 days 00:00:00.435578,0.003228851046590318,balanced,entropy,25,,29,43,best,0.7237387317348697,0.010571342402771446,"[0.7253280008618601, 0.7338901433677818, 0.7055229958400996, 0.7198905955085388, 0.7340619230960682]",COMPLETE
39,0.5756029403242646,2026-08-26 14:04:30.994713,2026-08-26 14:04:31.416993,0 days 00:00:00.422280,0.009946448151624675,,entropy,25,,28,45,best,0.5756029403242646,0.009783757014234059,"[0.5919600577377151, 0.5749510474778733, 0.5649167623138367, 0.5795679609514267, 0.5666188731404711]",COMPLETE
40,0.6200588143265015,2026-08-26 14:04:31.417322,2026-08-26 14:04:31.446816,0 days 00:00:00.029494,0.0023298086174905093,balanced,entropy,19,,80,30,random,0.6200588143265015,0.010481611387289909,"[0.6285500624454916, 0.6027302415253541, 0.6315185860907492, 0.6141554685533026, 0.6233397130176099]",COMPLETE
41,0.7110346434915303,2026-08-26 14:04:31.447088,2026-08-26 14:04:31.873280,0 days 00:00:00.426192,0.003748709272237722,balanced,entropy,24,,33,49,best,0.7110346434915303,0.011459471597190518,"[0.7095011629254583, 0.7152044090060157, 0.6896937919876649, 0.718584623878776, 0.7221892296597366]",COMPLETE
42,0.7183472400141767,2026-08-26 14:04:31.873589,2026-08-26 14:04:31.972100,0 days 00:00:00.098511,0.0004844348603498636,balanced,entropy,22,sqrt,18,42,best,0.7183472400141767,0.007775358324152048,"[0.7230232883708511, 0.7073453747944128, 0.7277528169323987, 0.711055526338381, 0.7225591936348401]",COMPLETE
43,0.7215563532856636,2026-08-26 14:04:31.972393,2026-08-26 14:04:32.072137,0 days 00:00:00.099744,0.0004485476097564535,balanced,entropy,19,sqrt,18,43,best,0.7215563532856636,0.015241942590559129,"[0.7382398388889992, 0.7050365863272074, 0.7055364742156631, 0.7188074198637832, 0.7401614471326649]",COMPLETE
44,0.7314235987617683,2026-08-26 14:04:32.072429,2026-08-26 14:04:32.177957,0 days 00:00:00.105528,0.0015301683999290757,,entropy,18,sqrt,3,35,best,0.7314235987617683,0.012174665743964929,"[0.7297828460069308, 0.7092283509733326, 0.744886549591164, 0.7389274723921749, 0.7342927748452391]",COMPLETE
45,0.6439130331837264,2026-08-26 14:04:32.178240,2026-08-26 14:04:32.283528,0 days 00:00:00.105288,0.0034630221943211825,,entropy,15,sqrt,3,36,best,0.6439130331837264,0.012425886397362028,"[0.6677829944511994, 0.6386710666085564, 0.6434921569320572, 0.6327078934224806, 0.6369110545043385]",COMPLETE
46,0.7852679170121849,2026-08-26 14:04:32.283819,2026-08-26 14:04:32.770168,0 days 00:00:00.486349,0.0016544763040507997,,entropy,25,,4,25,best,0.7852679170121849,0.013690546519909617,"[0.7972213508562863, 0.7645273936806335, 0.773421076235664, 0.7979166471284328, 0.7932531171599079]",COMPLETE
47,0.8019591164866124,2026-08-26 14:04:32.770522,2026-08-26 14:04:33.181839,0 days 00:00:00.411317,0.0012586759075589157,,entropy,23,0.8,4,10,best,0.8019591164866124,0.011418726991791138,"[0.7976073107554017, 0.7815974811715344, 0.8117996144294848, 0.8070541561370614, 0.8117370199395794]",COMPLETE
48,0.7955912224736958,2026-08-26 14:04:33.182150,2026-08-26 14:04:33.589111,0 days 00:00:00.406961,0.0013073405797630762,,entropy,23,0.8,4,12,best,0.7955912224736958,0.010269447490254574,"[0.8032238043155034, 0.7876817806168465, 0.7826773296127727, 0.8109251792647997, 0.793448018558557]",COMPLETE
49,0.7966373813786604,2026-08-26 14:04:33.589430,2026-08-26 14:04:34.009930,0 days 00:00:00.420500,0.0013158045586943378,,entropy,18,0.8,1,11,best,0.7966373813786604,0.012997313878587581,"[0.7940508702953322, 0.7802237763741825, 0.7857851833095147, 0.8131765849956464, 0.8099504919186257]",COMPLETE
50,0.8132701631500806,2026-08-26 14:04:34.010271,2026-08-26 14:04:34.423890,0 days 00:00:00.413619,0.0002856408713718199,,entropy,23,0.8,1,10,best,0.8132701631500806,0.011640686729215312,"[0.8239621455593031, 0.7958498352758312, 0.8249877059420038, 0.8033595422209814, 0.8181915867522838]",COMPLETE
51,0.8133978770708981,2026-08-26 14:04:34.424202,2026-08-26 14:04:34.837603,0 days 00:00:00.413401,0.00023859430773192898,,entropy,23,0.8,1,10,best,0.8133978770708981,0.011450816309788664,"[0.8239621455593031, 0.7964884048799181, 0.8249877059420038, 0.8033595422209814, 0.8181915867522838]",COMPLETE
52,0.8135243379530968,2026-08-26 14:04:34.837894,2026-08-26 14:04:35.251121,0 days 00:00:00.413227,0.00020883664120967678,,entropy,24,0.8,1,10,best,0.8135243379530968,0.011257623042568707,"[0.8239621455593031, 0.797191359544981, 0.8249877059420038, 0.8032888919669121, 0.8181915867522838]",COMPLETE
53,0.8078616893720978,2026-08-26 14:04:35.251421,2026-08-26 14:04:35.674573,0 days 00:00:00.423152,3.906008703184941e-05,,entropy,23,0.8,1,11,best,0.8078616893720978,0.00995651765026511,"[0.822584715252495, 0.7941774271958156, 0.8102483628162278, 0.8124763587368852, 0.7998215828590652]",COMPLETE
54,0.8099884264657632,2026-08-26 14:04:35.674889,2026-08-26 14:04:36.094334,0 days 00:00:00.419445,3.533440156262541e-05,,entropy,23,0.8,1,9,best,0.8099884264657632,0.009030619970631409,"[0.8250549584658508, 0.7971989833968062, 0.8061091548830074, 0.8114444995122053, 0.8101345360709464]",COMPLETE
55,0.8116198004774196,2026-08-26 14:04:36.094648,2026-08-26 14:04:36.520365,0 days 00:00:00.425717,9.064468712937647e-06,,entropy,23,0.8,1,8,best,0.8116198004774196,0.007685208287594053,"[0.8198672729645251, 0.7980647514667513, 0.8096768003370435, 0.817842327293434, 0.8126478503253448]",COMPLETE
56,0.7828857287775803,2026-08-26 14:04:36.520679,2026-08-26 14:04:36.910968,0 days 00:00:00.390289,2.6208098333609346e-05,,entropy,22,0.8,10,6,best,0.7828857287775803,0.014446093972701518,"[0.7989389979512578, 0.756639222720461, 0.7918297598203973, 0.7863463213894004, 0.7806743420063854]",COMPLETE
57,0.7454107278794483,2026-08-26 14:04:36.911324,2026-08-26 14:04:36.955120,0 days 00:00:00.043796,1.2788537019841253e-05,,entropy,23,0.8,1,17,random,0.7454107278794483,0.010091039623031489,"[0.76289785776485, 0.7322583702259587, 0.74672847000839, 0.7450993540239023, 0.7400695873741406]",COMPLETE
