number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_best_iterations,user_attrs_fold_scores,state
64,0.8909295877285383,2026-08-27 08:38:31.898971,2026-08-27 08:38:45.302156,0 days 00:00:13.403185,0.9848655327028893,0.10693684725781968,0.18202204619495743,10,2.6747821031254038,0.016456574548379548,0.19271970994805177,0.9628339083769132,0.8909295877285383,0.004458009653785474,"[1416, 1168, 883, 1276, 1292]","[0.8897911919944687, 0.8972057772340588, 0.8945073534712266, 0.8845841140466071, 0.8885595018963303]",COMPLETE
65,0.8680551400163667,2026-08-27 08:38:45.302463,2026-08-27 08:38:56.099226,0 days 00:00:10.796763,0.9335424194655313,0.6841918799391955,0.13539150422356733,10,1.622483028588636,0.00516583845525348,0.12765735921700136,0.9360287810622226,0.8680551400163667,0.005194359372923795,"[905, 1458, 1169, 1153, 1494]","[0.8627938756540133, 0.8779608223646637, 0.8654305310831018, 0.8667494191261639, 0.8673410518538905]",COMPLETE
66,0.8935634835521851,2026-08-27 08:38:56.099556,2026-08-27 08:39:13.282718,0 days 00:00:17.183162,0.9720821683916201,0.004974245497102306,0.1580810111598847,10,2.0341809364755523,0.05478182641886784,0.2872626770316769,0.991131653781943,0.8935634835521851,0.004578706562910732,"[260, 258, 261, 235, 253]","[0.8962150202327237, 0.9012662535496566, 0.8887678490190359, 0.8907069206662142, 0.8908613742932948]",COMPLETE
67,0.8722154885660027,2026-08-27 08:39:13.283037,2026-08-27 08:39:25.217057,0 days 00:00:11.934020,0.9712443343661107,0.35236905965080667,0.1109512232579352,10,2.020170541972182,0.0003210538778677175,0.39491164911593846,0.9887833227961464,0.8722154885660027,0.0029090055491911727,"[802, 1088, 1464, 1323, 1424]","[0.8754880857866949, 0.8751106190552878, 0.8726507402000392, 0.8681295305346642, 0.8696984672533269]",COMPLETE
68,0.8807163893437758,2026-08-27 08:39:25.217398,2026-08-27 08:39:38.279417,0 days 00:00:13.062019,0.9853396691786186,0.23917887175932276,0.1632439139907727,10,4.506594444268851,0.049523694602955054,0.3051389638236328,0.9551508956424768,0.8807163893437758,0.0014642799523071032,"[1499, 1480, 1464, 1475, 1493]","[0.8792088928999601, 0.8827885236724281, 0.8819938026883204, 0.8804379878302885, 0.8791527396278824]",COMPLETE
69,0.8822704620092224,2026-08-27 08:39:38.279730,2026-08-27 08:39:51.431755,0 days 00:00:13.152025,0.9451342557482352,0.21639119429116083,0.1272211946796543,9,1.3382742435901072,0.0017089644001838887,0.2666386277243013,0.9707507767974984,0.8822704620092224,0.004597779427953957,"[1011, 1404, 1423, 1483, 1299]","[0.878002818871749, 0.8897769321521304, 0.8810614870104937, 0.8775396083792012, 0.8849714636325382]",COMPLETE
70,0.8928279939504771,2026-08-27 08:39:51.432060,2026-08-27 08:40:07.804799,0 days 00:00:16.372739,0.9059253080325607,0.003919440146458246,0.18232288257601345,9,1.9907404170222038,0.10628575637229538,0.10187054445696013,0.9078727952465457,0.8928279939504771,0.003040270367297936,"[242, 278, 237, 269, 233]","[0.8931076755999553, 0.8967134447078279, 0.8951047162491056, 0.8912053562570886, 0.8880087769384076]",COMPLETE
71,0.8934222579934357,2026-08-27 08:40:07.805117,2026-08-27 08:40:23.916458,0 days 00:00:16.111341,0.930747863787308,0.0015851295627513284,0.19169714195029253,9,2.1437167082626685,0.11143611311125057,0.10163430184031122,0.907630807797368,0.8934222579934357,0.005198111392862259,"[251, 273, 247, 213, 227]","[0.8934397513925175, 0.9024700323338797, 0.8934230274562568, 0.8913532572350519, 0.8864252215494726]",COMPLETE
72,0.8890853877510049,2026-08-27 08:40:23.916788,2026-08-27 08:40:37.053242,0 days 00:00:13.136454,0.9040293774667709,0.13983608719647103,0.18998910688133963,9,2.0904221089091872,0.08734716537128374,0.10262166149406034,0.9033638172795264,0.8890853877510049,0.004728613951885195,"[1498, 1064, 843, 1355, 1166]","[0.8885578696799211, 0.8977987910548988, 0.8893291906069862, 0.884933854876428, 0.8848072325367905]",COMPLETE
73,0.8928085417269246,2026-08-27 08:40:37.053583,2026-08-27 08:40:52.622687,0 days 00:00:15.569104,0.8805029788080353,0.006335945277463326,0.1819955519454303,9,1.8007481335205968,0.02480465043284786,0.11942650823982501,0.947130733107517,0.8928085417269246,0.003990293711679609,"[230, 252, 221, 217, 244]","[0.8916583285807252, 0.9000283407471329, 0.89357092843422, 0.8904519357235522, 0.888333175148993]",COMPLETE
74,0.8928331612393311,2026-08-27 08:40:52.623000,2026-08-27 08:41:09.465567,0 days 00:00:16.842567,0.8828292000069587,0.003447880974640128,0.17219002884597262,8,1.836286043557603,0.01756221235521179,0.21284448326762045,0.9152718442269412,0.8928331612393311,0.0019033582976952616,"[314, 386, 337, 333, 293]","[0.8921064554611671, 0.8954124759292005, 0.8945498819320029, 0.8919473044368416, 0.8901496884374437]",COMPLETE
75,0.8845047104792435,2026-08-27 08:41:09.465891,2026-08-27 08:41:22.433418,0 days 00:00:12.967527,0.8900848965786567,0.2441283658251152,0.17854888374818917,8,1.829712453906121,0.013475847212176621,0.21624596973041935,0.9188785112031541,0.8845047104792435,0.004387959586662245,"[1499, 1458, 1491, 1475, 1421]","[0.8772817893646789, 0.8850438201901016, 0.8885431264002756, 0.8892916437915414, 0.8823631726496198]",COMPLETE
76,0.887076076809889,2026-08-27 08:41:22.433759,2026-08-27 08:41:36.030163,0 days 00:00:13.596404,0.8687901755186829,0.16512211222434725,0.16733979945753752,8,1.4407140493359416,0.02291331182359237,0.13832359236446456,0.9046025619421177,0.887076076809889,0.0020988412417869903,"[1012, 1211, 1018, 1324, 1345]","[0.8880881949520508, 0.890555633364237, 0.8863139662849283, 0.8843871773370201, 0.8860354121112085]",COMPLETE
77,0.8792487864812915,2026-08-27 08:41:36.030501,2026-08-27 08:41:48.121801,0 days 00:00:12.091300,0.8802450488139646,0.3076700860024215,0.19430275493143961,9,2.2081846471847446,0.006768727689907976,0.12433497272054717,0.9204879333234628,0.8792487864812915,0.00354931320845912,"[1422, 1363, 1468, 1332, 1453]","[0.8769193762587012, 0.8862986903520778, 0.8771621270184772, 0.8780699558008244, 0.877793782976377]",COMPLETE
78,0.8347753177712777,2026-08-27 08:41:48.122124,2026-08-27 08:41:57.906084,0 days 00:00:09.783960,0.9144036282894934,1.653420585850378,0.16465678005092887,8,1.7477464202442916,0.0036373336261557015,0.28571915907112744,0.9454845547041124,0.8347753177712777,0.006872575623671398,"[1171, 1458, 1051, 1491, 1492]","[0.8295374921916633, 0.8479924889284076, 0.8322239745371082, 0.8345903570597254, 0.8295322761394841]",COMPLETE
79,0.8913310182712995,2026-08-27 08:41:57.906415,2026-08-27 08:42:13.836395,0 days 00:00:15.929980,0.8556629105343714,0.005756003933077424,0.1823725901998423,9,1.9706930166816703,0.04291670983538625,0.22916311393035144,0.8751388315471608,0.8913310182712995,0.0030022899759524382,"[212, 270, 245, 246, 248]","[0.8935788517887229, 0.895477435639327, 0.8884671439208391, 0.8916139556654706, 0.887517704342137]",COMPLETE
80,0.8795927103844985,2026-08-27 08:42:13.836710,2026-08-27 08:42:27.120265,0 days 00:00:13.283555,0.8262573486293117,0.4389987206414498,0.14816525662376864,7,1.5437344199437666,0.0006782631338679785,0.11651879810994388,0.8592866819415839,0.8795927103844985,0.005534613049038128,"[1482, 1487, 1466, 1422, 1372]","[0.882732439533573, 0.8879513036945491, 0.8773599194518202, 0.8785324321424358, 0.871387457100114]",COMPLETE
81,0.8891096119053197,2026-08-27 08:42:27.120583,2026-08-27 08:42:39.616270,0 days 00:00:12.495687,0.9312703745571486,0.10821909351750922,0.17272830109052803,9,2.8858206833235838,0.12251224109376713,0.16020473370502822,0.9286281030483002,0.8891096119053197,0.0032560509002511834,"[1499, 448, 874, 500, 1263]","[0.8929169954475867, 0.8928016520375134, 0.8874032573828341, 0.8846020936712388, 0.8878240609874254]",COMPLETE
82,0.8921005637668754,2026-08-27 08:42:39.616582,2026-08-27 08:42:55.162750,0 days 00:00:15.546168,0.9006190619941301,0.0019473375715846012,0.19904882245583252,9,2.2608297502075874,0.00996182879993854,0.1474150820046558,0.9537219714303551,0.8921005637668754,0.0036022118338499545,"[264, 241, 246, 226, 225]","[0.898047936695395, 0.8941272684538087, 0.891040269437585, 0.8890775212404135, 0.8882098230071748]",COMPLETE
83,0.8848862773531326,2026-08-27 08:42:55.163077,2026-08-27 08:43:06.338669,0 days 00:00:11.175592,0.8780206171481164,0.19713697579360062,0.18927883113270622,9,2.1515326713414025,0.0015974497823046366,0.14465183949721624,0.9116587569418081,0.8848862773531326,0.0028662312684836462,"[524, 1303, 1500, 584, 1042]","[0.8826302567780667, 0.8880601528826233, 0.8865926443399789, 0.8867013324332547, 0.8804470003317393]",COMPLETE
84,0.8886528048049701,2026-08-27 08:43:06.338980,2026-08-27 08:43:19.702000,0 days 00:00:13.363020,0.9099341890544077,0.11341971928607086,0.19986810540053412,8,3.714449981526747,0.010043369123634792,0.4274334439433541,0.8937933280844363,0.8886528048049701,0.0028838922949760773,"[1371, 1080, 748, 716, 486]","[0.8894096123903351, 0.8909157512262267, 0.8917879930457598, 0.8874620540207298, 0.8836886133417998]",COMPLETE
85,0.8791786653340375,2026-08-27 08:43:19.702315,2026-08-27 08:43:31.570380,0 days 00:00:11.868065,0.8945007159416606,0.3551177668186978,0.15900971572697678,9,1.7350419239039145,0.02408119940833997,0.19863374203296294,0.9492837242732419,0.8791786653340375,0.0030093273527813055,"[1458, 1146, 1456, 1474, 1493]","[0.8779297773734417, 0.8842194118713086, 0.87580158280079, 0.8808179909840109, 0.877124563640637]",COMPLETE
86,0.8938238587506968,2026-08-27 08:43:31.570693,2026-08-27 08:44:25.042197,0 days 00:00:53.471504,0.9017375894049472,0.006990251668246048,0.024302391867309772,9,2.291608037199792,0.40557524727149613,0.1163555707945795,0.9333851128756059,0.8938238587506968,0.0038225586123500493,"[1500, 1500, 1500, 1499, 1500]","[0.8936430177157586, 0.9000052914388071, 0.895020515051309, 0.8921597609187271, 0.8882907086288819]",COMPLETE
87,0.8880552099844417,2026-08-27 08:44:25.042503,2026-08-27 08:45:07.865172,0 days 00:00:42.822669,0.9157871841232383,0.19980361668745522,0.02283554491359094,8,1.3997183875949557,0.3814654794893628,0.11757493608769962,0.6944922120506347,0.8880552099844417,0.0036912548611096386,"[1499, 1500, 1499, 1500, 1496]","[0.889283891948093, 0.8913269604659696, 0.8918239522950232, 0.8858596632834068, 0.8819815819297157]",COMPLETE
88,0.887902559085193,2026-08-27 08:45:07.865504,2026-08-27 08:45:37.629111,0 days 00:00:29.763607,0.8402865339871566,0.08195504031904308,0.0412518255556834,9,2.3766113640641233,1.5727681541568812,0.23558180676926316,0.9329935917793158,0.887902559085193,0.0034777531236323007,"[1495, 1492, 1484, 1498, 1499]","[0.8881938690077616, 0.8940822690249289, 0.8876459142479561, 0.8859838711489814, 0.8836068719963365]",COMPLETE
89,0.8844618815227097,2026-08-27 08:45:37.629484,2026-08-27 08:46:06.459615,0 days 00:00:28.830131,0.9456722968826282,0.26959993561649664,0.02977251169528927,8,2.8876081750078266,0.22032350902097506,0.11473474666783455,0.8980745141807552,0.8844618815227097,0.003039100246770138,"[1499, 1498, 1496, 1497, 1499]","[0.8832328538479844, 0.8898510728382091, 0.8855246484427939, 0.8825053147615559, 0.8811955177230052]",COMPLETE
90,0.8892461694473311,2026-08-27 08:46:06.459944,2026-08-27 08:46:42.280167,0 days 00:00:35.820223,0.9243227434487838,0.13916087763661342,0.02712922394672911,9,1.9092109581316796,0.037081694913300475,0.5495553472725634,0.9366747912530662,0.8892461694473311,0.002118821965546496,"[1495, 1500, 1488, 1494, 1500]","[0.8885340265885047, 0.8915133555350429, 0.8912943986564908, 0.8891927785452025, 0.8856962879114154]",COMPLETE
91,0.8932621680207442,2026-08-27 08:46:42.280493,2026-08-27 08:46:57.241138,0 days 00:00:14.960645,0.9017655826792013,0.013647078764011722,0.1754450384779383,9,2.2360533526450697,0.021566226765672627,0.13901660362415316,0.9574814940127074,0.8932621680207442,0.0032544108757695716,"[313, 292, 291, 252, 243]","[0.8938432811172053, 0.8982173744050158, 0.8945033060527119, 0.8885398727648517, 0.8912070057639357]",COMPLETE
92,0.8888728496546472,2026-08-27 08:46:57.241452,2026-08-27 08:47:09.607196,0 days 00:00:12.365744,0.8750856200125906,0.07367549479600877,0.1757702153618463,9,3.294907854825366,0.4127304146383181,0.17689394563118516,0.921280239251197,0.8888728496546472,0.0022801772150463397,"[650, 525, 697, 520, 1137]","[0.8886516652425659, 0.8928074385817061, 0.8894281177939906, 0.8874620540207298, 0.8860149726342438]",COMPLETE
93,0.8915467137773219,2026-08-27 08:47:09.607526,2026-08-27 08:47:27.843156,0 days 00:00:18.235630,0.8584392294293541,0.0031801343759053566,0.1465570765063872,9,2.106390193503614,0.019316793724269907,0.10054385219415603,0.9603993589781391,0.8915467137773219,0.0038618670967571515,"[321, 332, 330, 346, 282]","[0.8917662978804243, 0.8980997357509546, 0.8899371700148929, 0.8917634442096153, 0.8861669210307216]",COMPLETE
94,0.8799365926509802,2026-08-27 08:47:27.843475,2026-08-27 08:47:59.807712,0 days 00:00:31.964237,0.887552313825627,0.19589200439530702,0.04669885844731836,9,2.5073984103001377,0.06138548982292259,24.479620688243813,0.9417240949110361,0.8799365926509802,0.0035150900785205917,"[1499, 1500, 1500, 1493, 1499]","[0.878438273476034, 0.8860288767525284, 0.8803081284176225, 0.879684567296752, 0.8752231173119641]",COMPLETE
95,0.88700216989596,2026-08-27 08:47:59.808097,2026-08-27 08:48:14.162495,0 days 00:00:14.354398,0.9102326692166701,0.07017602260751417,0.15843027802549486,8,1.8576620089037168,1.412957441485065,0.13172258206170365,0.9727695260430236,0.88700216989596,0.003322751160948245,"[1476, 1467, 1458, 1410, 1497]","[0.8832647787275819, 0.8913765503828254, 0.8906153564738138, 0.8847965705284927, 0.8849575933670866]",COMPLETE
96,0.888196692362107,2026-08-27 08:48:14.162816,2026-08-27 08:48:27.158059,0 days 00:00:12.995243,0.9269773563650677,0.14557728567263867,0.18533977479691502,9,1.6449168988533267,0.1159486236571436,0.3431058699658425,0.9084286510680265,0.888196692362107,0.004131447106369993,"[1499, 1303, 1500, 653, 1341]","[0.8843620896730031, 0.8941910321077188, 0.8921523979241233, 0.8855638613274809, 0.8847140807782085]",COMPLETE
97,0.8889795698660565,2026-08-27 08:48:27.158394,2026-08-27 08:48:45.978166,0 days 00:00:18.819772,0.8965687204027016,0.0007727168437643658,0.1704864899543377,6,1.1656248738648063,0.0036463653417172083,0.20861324097651668,0.9933182462050639,0.8889795698660565,0.002501631493273443,"[573, 686, 529, 576, 574]","[0.8915414837097546, 0.8923281806047578, 0.8865370393968416, 0.8863695712280655, 0.8881215743908636]",COMPLETE
98,0.8832828192238658,2026-08-27 08:48:45.978488,2026-08-27 08:49:25.706943,0 days 00:00:39.728455,0.9541876757907691,0.29765272906626644,0.016497970988081808,10,2.7345230629741257,0.2253740106965437,0.15626178613120328,0.8822829591016336,0.8832828192238658,0.001715179803764675,"[1499, 1499, 1488, 1478, 1498]","[0.8834895928982514, 0.8852744209049638, 0.8849134153994633, 0.8819644126505702, 0.8807722542660809]",COMPLETE
