number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
44,0.7270843864591539,2026-08-27 05:38:59.699509,2026-08-27 05:39:00.769938,0 days 00:00:01.070429,1.5595647657165098e-09,,log_loss,16,,21,19,best,0.7270843864591539,0.011519595540763244,"[0.7084906227981769, 0.7448233529909007, 0.7263676837882717, 0.7286941381461715, 0.727046134572249]",COMPLETE
45,0.7618306543644704,2026-08-27 05:39:00.770259,2026-08-27 05:39:01.890576,0 days 00:00:01.120317,7.884683236734928e-09,balanced,gini,19,,1,13,best,0.7618306543644704,0.007611566190696074,"[0.7599757021650501, 0.7715024295816857, 0.7522160481517576, 0.7697523285667366, 0.7557067633571224]",COMPLETE
46,0.7644047102964227,2026-08-27 05:39:01.890892,2026-08-27 05:39:03.029555,0 days 00:00:01.138663,3.908327617472764e-08,balanced,gini,21,,2,12,best,0.7644047102964227,0.0037997828846501433,"[0.7638871033253994, 0.7704293640008067, 0.7586304854274454, 0.7634776354913172, 0.7655989632371446]",COMPLETE
47,0.7682022611351078,2026-08-27 05:39:03.029866,2026-08-27 05:39:04.202068,0 days 00:00:01.172202,1.175060844481843e-07,balanced,gini,22,,1,5,best,0.7682022611351078,0.00622732846211247,"[0.7667893747693489, 0.7781480798319763, 0.758926270820976, 0.7667486219767324, 0.7703989582765053]",COMPLETE
48,0.7721804005028391,2026-08-27 05:39:04.202420,2026-08-27 05:39:05.308122,0 days 00:00:01.105702,1.0119837446826463e-07,,gini,22,,1,4,best,0.7721804005028391,0.009212355920331499,"[0.7669474331274744, 0.7872334318297064, 0.770570366544861, 0.7598880384772181, 0.7762627325349357]",COMPLETE
49,0.774898025974836,2026-08-27 05:39:05.308481,2026-08-27 05:39:06.422410,0 days 00:00:01.113929,4.0393555171617235e-07,,gini,24,,1,2,best,0.774898025974836,0.008821268785687935,"[0.765817575729934, 0.7914480621669391, 0.774897955076738, 0.7696110421785566, 0.7727154947220124]",COMPLETE
50,0.774898025974836,2026-08-27 05:39:06.422751,2026-08-27 05:39:07.544680,0 days 00:00:01.121929,3.781855190347504e-07,,gini,24,,1,2,best,0.774898025974836,0.008821268785687935,"[0.765817575729934, 0.7914480621669391, 0.774897955076738, 0.7696110421785566, 0.7727154947220124]",COMPLETE
51,0.7743558462556959,2026-08-27 05:39:07.545041,2026-08-27 05:39:08.658340,0 days 00:00:01.113299,4.193724438171176e-07,,gini,24,,1,4,best,0.7743558462556959,0.007432646836140892,"[0.7713723123883575, 0.7884152604933753, 0.7700409367876592, 0.7672217768890369, 0.7747289447200502]",COMPLETE
52,0.7741597205057523,2026-08-27 05:39:08.658736,2026-08-27 05:39:09.767234,0 days 00:00:01.108498,3.2182407400765e-07,,gini,24,,1,5,best,0.7741597205057523,0.0073846498900954315,"[0.7718258235398663, 0.7884102677322734, 0.7733747838918802, 0.7677088640074583, 0.7694788633572833]",COMPLETE
53,0.7732996858069225,2026-08-27 05:39:09.767571,2026-08-27 05:39:10.835052,0 days 00:00:01.067481,4.2959889831577103e-07,,gini,24,,4,2,best,0.7732996858069225,0.008149258792695277,"[0.7769308457516662, 0.782658195252074, 0.7590480973372778, 0.7702305724433076, 0.7776307182502872]",COMPLETE
54,0.7726891488004789,2026-08-27 05:39:10.835417,2026-08-27 05:39:11.911771,0 days 00:00:01.076354,3.7425989089102095e-07,,gini,25,,4,2,best,0.7726891488004789,0.006277316846702187,"[0.7738953465609887, 0.7821531904496862, 0.7628412290883517, 0.7701946131940444, 0.7743613647093235]",COMPLETE
55,0.7420567244873408,2026-08-27 05:39:11.912081,2026-08-27 05:39:12.882294,0 days 00:00:00.970213,3.87047887185982e-07,,gini,25,,15,2,best,0.7420567244873408,0.01068062816662148,"[0.7495940902714349, 0.7571072230090542, 0.7321440817165423, 0.7283550593246485, 0.7430831681150245]",COMPLETE
