number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
29,0.8312591760052678,2026-08-25 15:50:40.704814,2026-08-25 15:51:24.893512,0 days 00:00:44.188698,True,,entropy,32.0,0.7,7,4,700,0.8312591760052678,0.0051596052308051,"[0.8271155530474648, 0.8363613882453449, 0.8258250238451392, 0.8385149305655504, 0.8284789843228401]",COMPLETE
30,0.6976307166201658,2026-08-25 15:51:24.893896,2026-08-25 15:52:09.132931,0 days 00:00:44.239035,False,,entropy,8.0,0.5,2,9,800,0.6976307166201658,0.005546409714701473,"[0.6946330074086112, 0.6934822155819905, 0.691566097180447, 0.7028992764343308, 0.7055729864954499]",COMPLETE
31,0.8592598259705678,2026-08-25 15:52:09.133250,2026-08-25 15:53:05.807864,0 days 00:00:56.674614,False,,entropy,,0.5,4,5,700,0.8592598259705678,0.0049351047291927505,"[0.8623252232445338, 0.8657371775157028, 0.8511233053441919, 0.8598279009210339, 0.8572855228273765]",COMPLETE
32,0.8609809666761776,2026-08-25 15:53:05.808214,2026-08-25 15:53:55.131396,0 days 00:00:49.323182,False,,entropy,,0.5,3,8,600,0.8609809666761776,0.006599277699074102,"[0.8643305581844395, 0.8712436832651397, 0.8531068335284179, 0.8614841126591064, 0.8547396457437851]",COMPLETE
33,0.8528655303243691,2026-08-25 15:53:55.131726,2026-08-25 15:55:10.649238,0 days 00:01:15.517512,False,,entropy,,0.7,5,2,700,0.8528655303243691,0.005036522638250347,"[0.8504531078757925, 0.8600571708728083, 0.8464924943608504, 0.857364304360177, 0.8499605741522164]",COMPLETE
34,0.8409579466283592,2026-08-25 15:55:10.649574,2026-08-25 15:55:41.175172,0 days 00:00:30.525598,True,,entropy,32.0,0.5,2,13,600,0.8409579466283592,0.00261275974941573,"[0.8399886065961361, 0.8404897149031042, 0.839602403029888, 0.8460447252584621, 0.8386642833542055]",COMPLETE
35,0.8302462224082617,2026-08-25 15:55:41.175553,2026-08-25 15:56:06.769147,0 days 00:00:25.593594,False,,entropy,24.0,sqrt,2,22,800,0.8302462224082617,0.004005049211782519,"[0.8271683614495617, 0.8296025603150943, 0.8289699979770182, 0.8380459016650835, 0.827444290634551]",COMPLETE
36,0.8050436196437927,2026-08-25 15:56:06.769515,2026-08-25 15:56:20.283540,0 days 00:00:13.514025,True,,entropy,16.0,log2,6,5,700,0.8050436196437927,0.003093874604998966,"[0.8059607714779454, 0.8032770805425647, 0.8047286894038015, 0.8102691324539069, 0.8009824243407443]",COMPLETE
37,0.7686352171252835,2026-08-25 15:56:20.283872,2026-08-25 15:57:54.837801,0 days 00:01:34.553929,False,,entropy,,1.0,4,4,600,0.7686352171252835,0.003931373541458136,"[0.7693205366537348, 0.7755939356271048, 0.7649942993341661, 0.7647473517040014, 0.7685199623074106]",COMPLETE
38,0.6893258950646601,2026-08-25 15:57:54.838139,2026-08-25 15:58:12.452058,0 days 00:00:17.613919,False,balanced,entropy,8.0,sqrt,2,8,800,0.6893258950646601,0.0022035036018955324,"[0.6871714946568055, 0.6920218324272399, 0.6909938716321782, 0.6863310985678136, 0.6901111780392633]",COMPLETE
