number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,user_attrs_cv_mean,user_attrs_cv_std,user_attrs_fold_scores,state
50,0.7244245035771385,2026-08-25 14:38:34.790724,2026-08-25 14:38:35.407508,0 days 00:00:00.616784,1.2779551391826596e-08,balanced,log_loss,22,0.6,11,2,best,0.7244245035771385,0.007506662957186133,"[0.7277365581908302, 0.7342294937854007, 0.7114837888455728, 0.7224436207635477, 0.7262290563003413]",COMPLETE
51,0.7067477740028767,2026-08-25 14:38:35.407828,2026-08-25 14:38:36.002873,0 days 00:00:00.595045,3.715709794146925e-08,balanced,log_loss,13,0.6,7,5,best,0.7067477740028767,0.00840741939600085,"[0.7041142885446069, 0.7199693960751586, 0.7115236457277755, 0.7029927051377219, 0.6951388345291202]",COMPLETE
52,0.7296659876727449,2026-08-25 14:38:36.003220,2026-08-25 14:38:36.637160,0 days 00:00:00.633940,2.380182431168731e-08,balanced,log_loss,15,0.6,1,15,best,0.7296659876727449,0.007830980708843678,"[0.733979686267635, 0.7215713230555592, 0.718905144396655, 0.7362434059733892, 0.7376303786704869]",COMPLETE
53,0.7395529205246716,2026-08-25 14:38:36.637502,2026-08-25 14:38:37.273075,0 days 00:00:00.635573,3.2992113373066466e-09,balanced,log_loss,15,0.6,1,16,best,0.7395529205246716,0.00686694752968111,"[0.7426097822599038, 0.7359786199598716, 0.7451546231586859, 0.7462127142922356, 0.7278088629526608]",COMPLETE
54,0.7366481533306422,2026-08-25 14:38:37.273395,2026-08-25 14:38:37.909360,0 days 00:00:00.635965,2.397445325642645e-09,balanced,log_loss,17,0.6,2,25,best,0.7366481533306422,0.008753660571536462,"[0.7490419975344652, 0.7436691675680156, 0.7289085848819421, 0.7359180387533811, 0.7257029779154065]",COMPLETE
55,0.6992969314956814,2026-08-25 14:38:37.909669,2026-08-25 14:38:38.135150,0 days 00:00:00.225481,2.1348748909497834e-09,balanced,log_loss,18,sqrt,2,30,best,0.6992969314956814,0.0051400152489456084,"[0.7015502022969765, 0.7082303944323239, 0.6936939310616581, 0.696164373059009, 0.6968457566284393]",COMPLETE
56,0.7304946092977038,2026-08-25 14:38:38.135481,2026-08-25 14:38:38.763760,0 days 00:00:00.628279,6.051204337360446e-09,balanced,log_loss,17,0.6,1,37,best,0.7304946092977038,0.0038984150490654536,"[0.7361277012508695, 0.7270766018109379, 0.7330847877585317, 0.7254162163553085, 0.7307677393128716]",COMPLETE
57,0.6626615513916445,2026-08-25 14:38:38.764078,2026-08-25 14:38:38.819988,0 days 00:00:00.055910,5.005274959853364e-09,balanced,log_loss,17,0.6,12,50,random,0.6626615513916445,0.005964957047046248,"[0.6725771341115218, 0.6654224092106701, 0.6619272583880158, 0.6569311186446494, 0.656449836603366]",COMPLETE
58,0.7285523113747931,2026-08-25 14:38:38.820350,2026-08-25 14:38:39.460759,0 days 00:00:00.640409,1.6083330665519311e-09,,gini,20,0.8,18,38,best,0.7285523113747931,0.003292478648410271,"[0.726859944313896, 0.732652093826175, 0.725810218368995, 0.732390799677375, 0.725048500687525]",COMPLETE
59,0.7149397339624342,2026-08-25 14:38:39.461071,2026-08-25 14:38:40.060313,0 days 00:00:00.599242,3.5149526793847676e-09,balanced,entropy,23,0.6,5,49,best,0.7149397339624342,0.009156220306019617,"[0.7148004649856624, 0.7075313338577062, 0.7048460762733155, 0.7310675148657265, 0.7164532798297601]",COMPLETE
60,0.652064226644803,2026-08-25 14:38:40.060649,2026-08-25 14:38:40.563912,0 days 00:00:00.503263,8.041308488256356e-09,balanced,log_loss,30,0.6,63,27,best,0.652064226644803,0.007944760890698725,"[0.6411251173314959, 0.662568634356037, 0.6596598951603022, 0.6474217802992306, 0.6495457060769494]",COMPLETE
61,0.7128221770425414,2026-08-25 14:38:40.564238,2026-08-25 14:38:41.171615,0 days 00:00:00.607377,1.8319827681588473e-08,balanced,log_loss,16,0.6,1,45,best,0.7128221770425414,0.010724701873842833,"[0.7190804759470918, 0.725948569891978, 0.6946184135927242, 0.70825972614382, 0.7162036996370927]",COMPLETE
62,0.7329569857015236,2026-08-25 14:38:41.171940,2026-08-25 14:38:41.812998,0 days 00:00:00.641058,1.7969478477844429e-09,balanced,log_loss,17,0.6,1,23,best,0.7329569857015236,0.008847501123507068,"[0.7400845263649222, 0.7388172215427308, 0.7199289256959268, 0.7412389680986204, 0.7247152868054177]",COMPLETE
63,0.6908687433282823,2026-08-25 14:38:41.813305,2026-08-25 14:38:42.374095,0 days 00:00:00.560790,1.9427559518752792e-09,balanced,log_loss,19,0.6,10,91,best,0.6908687433282823,0.009179691022203635,"[0.6954513405807258, 0.6965050553910204, 0.6725460568181219, 0.6948536180972975, 0.6949876457542462]",COMPLETE
64,0.7408669802060803,2026-08-25 14:38:42.374426,2026-08-25 14:38:43.000661,0 days 00:00:00.626235,1.0407939091886892e-09,balanced,log_loss,17,0.6,3,24,best,0.7408669802060803,0.004072651010478091,"[0.743471215300366, 0.7437624145776117, 0.7387804321456732, 0.7445264454522116, 0.7337943935545393]",COMPLETE
65,0.723418091959679,2026-08-25 14:38:43.000981,2026-08-25 14:38:43.401122,0 days 00:00:00.400141,1.010490513573247e-09,balanced,log_loss,17,0.4,4,24,best,0.723418091959679,0.01014536268132774,"[0.7203972236371233, 0.7371052660261098, 0.7333275389257586, 0.7151673215625797, 0.7110931096468237]",COMPLETE
66,0.7236140556333522,2026-08-25 14:38:43.401445,2026-08-25 14:38:44.012527,0 days 00:00:00.611082,3.127662683753796e-09,balanced,log_loss,15,0.6,3,35,best,0.7236140556333522,0.009747880084538942,"[0.722308358415452, 0.7383780091098817, 0.7276172931580317, 0.7214768233575738, 0.7082897941258223]",COMPLETE
67,0.711984671358203,2026-08-25 14:38:44.012846,2026-08-25 14:38:44.603585,0 days 00:00:00.590739,1.1578012100207158e-08,balanced,log_loss,19,0.6,8,60,best,0.711984671358203,0.00977464599351351,"[0.7217089460980995, 0.7128025994288206, 0.7018367674400668, 0.7236076383709763, 0.6999674054530516]",COMPLETE
68,0.7013322411286582,2026-08-25 14:38:44.603958,2026-08-25 14:38:45.163163,0 days 00:00:00.559205,4.66822837859337e-09,balanced,log_loss,12,0.6,9,31,best,0.7013322411286582,0.008728434266046197,"[0.7094975403958518, 0.7013503021195243, 0.6946590844364601, 0.7121655820305196, 0.6889886966609353]",COMPLETE
69,0.6481152294272896,2026-08-25 14:38:45.163498,2026-08-25 14:38:45.203060,0 days 00:00:00.039562,1.9041511397185725e-09,balanced,log_loss,21,log2,5,21,random,0.6481152294272896,0.004865291119836442,"[0.6476317571334379, 0.6494888565156113, 0.6553545432161649, 0.6479736888416117, 0.6401273014296228]",COMPLETE
70,0.7204068413619458,2026-08-25 14:38:45.203402,2026-08-25 14:38:45.795947,0 days 00:00:00.592545,7.3366657135338535e-09,balanced,log_loss,17,0.6,13,26,best,0.7204068413619458,0.010423010712783436,"[0.7002000088065191, 0.7301455431605857, 0.7251715286253266, 0.7225269592578346, 0.7239901669594623]",COMPLETE
71,0.7116230218727645,2026-08-25 14:38:45.796278,2026-08-25 14:38:46.380666,0 days 00:00:00.584388,2.4034501581109146e-09,balanced,log_loss,15,0.6,15,33,best,0.7116230218727645,0.0050995865160891034,"[0.7106953211021967, 0.7070534915367124, 0.7054017918676273, 0.7168029848919266, 0.7181615199653596]",COMPLETE
72,0.7429413993163366,2026-08-25 14:38:46.380983,2026-08-25 14:38:47.035510,0 days 00:00:00.654527,1.3664136281302902e-09,balanced,log_loss,18,0.6,1,19,best,0.7429413993163366,0.006960307390857004,"[0.7535378959066534, 0.7466266211511482, 0.736077114600652, 0.7438007908688632, 0.7346645740543664]",COMPLETE
73,0.7407423048212889,2026-08-25 14:38:47.035833,2026-08-25 14:38:47.673950,0 days 00:00:00.638117,1.2367905513985407e-09,balanced,log_loss,18,0.6,1,20,best,0.7407423048212889,0.0027309400445574426,"[0.7411715477851942, 0.7435641226550102, 0.7355277586481689, 0.7418338951867058, 0.7416141998313651]",COMPLETE
74,0.7430158432059257,2026-08-25 14:38:47.674277,2026-08-25 14:38:48.298075,0 days 00:00:00.623798,1.433637637006055e-09,balanced,log_loss,18,0.6,5,20,best,0.7430158432059257,0.011506488080675593,"[0.7638010793844034, 0.7411889428088477, 0.7402830089179199, 0.7282875464086015, 0.7415186385098561]",COMPLETE
75,0.7575632540476855,2026-08-25 14:38:48.298388,2026-08-25 14:38:49.380057,0 days 00:00:01.081669,1.1832147866743831e-09,balanced,log_loss,21,,4,18,best,0.7575632540476855,0.002021924050265306,"[0.7575145798665833, 0.7538175295167265, 0.7594104165556169, 0.7577951885448931, 0.7592785557546077]",COMPLETE
